City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Aranos,NA,-24.1333,19.1167,65.98,21,76,10.65,broken clouds
255,La Paz,BO,-16.5,-68.15,46.38,81,75,8.05,broken clouds
256,Saint Anthony,US,45.0205,-93.218,37.71,67,1,0.0,clear sky
257,Kidal,ML,18.4411,1.4078,74.08,24,3,11.56,clear sky
258,Bereda,ES,43.2686,-7.5406,42.42,100,93,0.69,overcast clouds
259,Goundam,ML,16.4145,-3.6708,77.07,25,1,10.25,clear sky
260,Peniche,PT,39.3558,-9.3811,57.07,87,100,12.3,overcast clouds
261,Nandikotkur,IN,15.8667,78.2667,74.88,89,97,5.19,overcast clouds
262,Buritis,BR,-15.6178,-46.4233,72.59,91,100,1.54,moderate rain
263,Longyearbyen,SJ,78.2186,15.6401,8.44,61,75,3.44,broken clouds
264,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.3,85,100,14.16,overcast clouds
265,Rocha,UY,-34.4833,-54.3333,56.88,72,0,6.2,clear sky
266,Port Hedland,AU,-20.3167,118.5667,91.45,35,98,5.75,overcast clouds
267,Buala,SB,-8.145,159.5921,84.51,68,21,3.96,light rain
268,Sehithwa,BW,-20.4667,22.7167,75.4,57,20,2.64,few clouds
269,Lagoa,PT,39.05,-27.9833,64.35,77,100,28.77,overcast clouds
270,Calabozo,VE,8.9242,-67.4293,82.62,57,99,6.82,overcast clouds
271,Maykor,RU,59.0059,55.88,25.83,96,100,9.91,light snow
272,Kodinsk,RU,58.6881,99.1844,1.44,99,100,3.15,overcast clouds
273,Raga,SS,8.4596,25.678,74.14,23,9,5.68,clear sky
274,Kambi,GR,39.2177,20.8998,52.05,75,0,3.78,clear sky
275,Marrakesh,MA,31.6315,-8.0083,55.47,82,40,2.3,scattered clouds
276,Terra Boa,BR,-23.7681,-52.4442,74.8,68,0,3.85,clear sky
277,Chiredzi,ZW,-21.05,31.6667,67.01,95,100,6.2,light rain
278,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.99,98,98,2.19,overcast clouds
279,Wagar,SD,16.1525,36.2032,71.11,22,0,9.89,clear sky
280,Jaguarari,BR,-10.2639,-40.1958,73.04,68,100,8.03,overcast clouds
281,Meadow Lake,US,34.8014,-106.5436,54.88,26,63,5.77,broken clouds
282,Djenne,ML,13.9061,-4.5533,77.68,17,6,9.06,clear sky
283,Taywarah,AF,33.35,64.4167,25.68,51,0,2.53,clear sky
